,id,userId,eventId,homeworkRequestId,classId,documentId,message,priority,creationDate,lastModificationDate,expirationDate,notificationType,sphere,title
771,5f7c2a9b08a33300018ccbb9,5f7c2a9a08a33300018ccbb7,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 10:28,2021-02-15 14:07,2020-10-21 10:28,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
772,5f7c2a9b08a33300018ccbb8,5f7c2a9a08a33300018ccbb7,,,,,Pour voir tous les events,1,2020-10-06 10:28,2021-02-15 14:07,2020-10-21 10:28,SETUP_CALENDAR,HOME,Synchronisez vos agendas
773,5f7c2a9b08a33300018ccbba,5f7c2a9a08a33300018ccbb7,,,,,Trouvez la classe de vos enfants,1,2020-10-06 10:28,2021-02-15 14:07,2020-10-21 10:28,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
774,5f7c3c9308a33300018ccbdc,5f7c3c9308a33300018ccbdb,,,,,Pour voir tous les events,1,2020-10-06 11:44,2021-02-15 14:07,2020-10-21 11:44,SETUP_CALENDAR,HOME,Synchronisez vos agendas
775,5f7c343908a33300018ccbc1,5f7c343808a33300018ccbbf,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 11:09,2021-02-15 14:07,2020-10-06 11:11,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
776,5f7c3c9308a33300018ccbde,5f7c3c9308a33300018ccbdb,,,,,Trouvez la classe de vos enfants,1,2020-10-06 11:44,2021-02-15 14:07,2020-10-06 12:01,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
777,5f7c343908a33300018ccbc2,5f7c343808a33300018ccbbf,,,,,Trouvez la classe de vos enfants,1,2020-10-06 11:09,2021-02-15 14:07,2020-10-21 11:09,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
778,5f7c343908a33300018ccbc0,5f7c343808a33300018ccbbf,,,,,Pour voir tous les events,1,2020-10-06 11:09,2021-02-15 14:07,2020-10-06 11:10,SETUP_CALENDAR,HOME,Synchronisez vos agendas
779,5f7c7b739fe5530001fd1c56,5f7c7b729fe5530001fd1c55,,,,,Pour voir tous les events,1,2020-10-06 16:13,2021-02-15 14:07,2020-10-21 16:13,SETUP_CALENDAR,HOME,Synchronisez vos agendas
780,5f7c7b739fe5530001fd1c57,5f7c7b729fe5530001fd1c55,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 16:13,2021-02-15 14:07,2020-10-06 04:19,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
