id,referenceId,referenceType,userId,label,description,type,creationDate,lastModificationDate,echueDate,contentType,authorName,modifier
5f4916984ded6f0001f02fea,5f4914934ded6f0001f02cb4,CLASS,Null,sfax,desc sfax,HOMEWORK,2020-05-01T00:00:00.000Z,2020-05-01T00:00:00.000Z,2020-08-30T23:00:00.000Z,,,Null
5f4917584ded6f0001f03137,5f4912c94ded6f0001f027f2,CLASS,Null,Ty,desc Ty,HOMEWORK,2020-05-01T00:00:00.000Z,2020-05-01T00:00:00.000Z,2020-08-29T23:00:00.000Z,,,Null
5f5790089ecb02000102675f,5f4906584ded6f0001f02685,CLASS,Null,,,HOMEWORK_LIST,2020-05-01T00:00:00.000Z,2020-05-01T00:00:00.000Z,2020-09-07T23:00:00.000Z,,,Null
5f75897308a33300018cbde0,5f4e27ab2447780001556cf0,CLASS,Null,,,HOMEWORK_LIST,2020-10-01T07:46:59.687Z,2020-10-01T07:46:59.687Z,2020-10-02T00:00:00.000Z,,,5e5ccf59026b4800016b27b0
5fa4e6c36cbf5200019247b9,5f4906584ded6f0001f02685,CLASS,Null,,,HOMEWORK_LIST,2020-11-06T06:01:39.661Z,2020-11-06T06:01:39.661Z,2020-11-06T01:00:00.000Z,,,5e58e79576c3f600016baadc
5fa4e7386cbf5200019247cc,5f4906584ded6f0001f02685,CLASS,Null,,,HOMEWORK_LIST,2020-11-06T06:03:36.821Z,2020-11-06T06:03:36.821Z,2020-11-07T01:00:00.000Z,,,5e617d019fed0e00015600a9
5fa7fd51f528270001d223e0,5fa7fc69f528270001d223cd,CLASS,Null,,,HOMEWORK_LIST,2020-11-08T14:14:41.363Z,2020-11-08T14:14:41.363Z,2020-11-09T01:00:00.000Z,,,5fa7fb916cbf520001925159
5fa7fd496cbf52000192517d,5fa7fc69f528270001d223cd,CLASS,Null,,,HOMEWORK_LIST,2020-11-08T14:14:33.115Z,2020-11-08T14:14:33.115Z,2020-11-09T01:00:00.000Z,,,5fa7fb916cbf520001925159
5fa98a08f528270001d22602,5f7def419fe5530001fd2151,CLASS,Null,Auto dictée,,HOMEWORK,2020-11-09T18:27:20.895Z,2020-11-09T18:27:20.895Z,2020-11-10T01:00:00.000Z,,,5e6210b49fed0e00015600b6
5fa97672f528270001d22579,5f54ce6585b2260001876b6f,CLASS,Null,,,HOMEWORK_LIST,2020-11-09T17:03:46.502Z,2020-11-09T17:03:46.502Z,2020-11-10T01:00:00.000Z,,,5f688311046ca50001ad3662
5fabac1e6cbf5200019254df,5f54ce6585b2260001876b6f,CLASS,Null,liste des mots vocabulaire dictée - svp,,HOMEWORK,2020-11-11T09:17:18.292Z,2020-11-11T09:17:18.292Z,2020-11-13T01:00:00.000Z,,,5f64fe1cfb6eb600010f63bf
5fabac2ff528270001d22731,5f54ce6585b2260001876b6f,CLASS,Null,liste des mots vocabulaire dictée - svp,,HOMEWORK,2020-11-11T09:17:35.725Z,2020-11-11T09:17:35.725Z,2020-11-13T01:00:00.000Z,,,5f64fe1cfb6eb600010f63bf
5fabbfb9f528270001d227ef,5f4e46f02447780001556df3,CLASS,Null,Physique,,HOMEWORK,2020-11-11T10:40:57.693Z,2020-11-11T10:40:57.693Z,2020-11-12T01:00:00.000Z,,,5e5ccf59026b4800016b27b0
5fad7bcdf528270001d22f5c,5f54ce6585b2260001876b6f,CLASS,Null,leçon emc,,HOMEWORK,2020-11-12T18:15:41.543Z,2020-11-12T18:15:41.543Z,2020-11-13T01:00:00.000Z,,,5e617d019fed0e00015600a9
5fad6922f528270001d22ea8,5f54ce6585b2260001876b6f,CLASS,Null,"cours de EMC, merci",,HOMEWORK,2020-11-12T16:56:02.386Z,2020-11-12T16:56:02.386Z,2020-11-13T01:00:00.000Z,,,5f688311046ca50001ad3662
5fb2b4ebf528270001d23361,5f54ce6585b2260001876b6f,CLASS,Null,vocabulaire du visage en anglais,,HOMEWORK,2020-11-16T17:20:43.861Z,2020-11-16T17:20:43.861Z,2020-11-17T01:00:00.000Z,,,5e617d019fed0e00015600a9
5fcb4afbd4ce9c0001e01573,5f6ef013046ca50001ad41dd,CLASS,5f0ffff5287d3e0001cc73c6,,,HOMEWORK_LIST,2020-12-05T08:55:23.252Z,2020-12-05T08:55:23.252Z,2020-12-07T01:00:00.000Z,,GARCIN,5f0ffff5287d3e0001cc73c6
5fce5ee8d4ce9c0001e017b9,5f49139a4ded6f0001f02a08,CLASS,5fce5d1fd4ce9c0001e01768,,,HOMEWORK_LIST,2020-12-07T16:57:12.668Z,2020-12-07T16:57:12.668Z,2020-12-10T01:00:00.000Z,,Hounaida,5fce5d1fd4ce9c0001e01768
5fdb4e073f4f2900015c502c,5f6ef013046ca50001ad41dd,CLASS,5f0ffff5287d3e0001cc73c6,,,HOMEWORK_LIST,2020-12-17T12:24:39.576Z,2020-12-17T12:24:39.576Z,2020-12-17T01:00:00.000Z,,GARCIN,5f0ffff5287d3e0001cc73c6
601ab8f187a2df7a6734c23f,601ab8bf87a2df7a6734c22f,CLASS,601ab5ed87a2df7a6734c10e,,,HOMEWORK_LIST,2021-02-03T14:53:37.733Z,2021-02-03T14:53:37.733Z,2021-02-12T01:00:00.000Z,,Maëlle,601ab5ed87a2df7a6734c10e
6026b2452be77d0e8a247923,5f76283708a33300018cc0f4,CLASS,5f157e2d84e9da00016db9f4,,,HOMEWORK_LIST,2021-02-12T16:52:21.757Z,2021-02-12T16:52:21.757Z,2021-03-01T01:00:00.000Z,,Gault,5f157e2d84e9da00016db9f4
6058c1b8e51bcc5e8691522f,60522d789a62d40d7ad1183e,CLASS,605236719a62d40d7ad11977,,,HOMEWORK_LIST,2021-03-22T16:11:36.083Z,2021-03-22T16:13:03.637Z,2021-03-23T01:00:00.000Z,,myriam,605226efa0bad44c9a6c9b54
