id,username,firstName,lastName,nbPhoneNumbers,nbEmails,city,groupChildSize,groupPersoSize,creationDate,lastModificationDate,mapAttributs
6005952dcecc894bde4dbe4b,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,1,,0,0,2020-01-17 12:18,2021-02-15 14:07,
5e47f02c09468c00014ebdd9,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-02-15 14:20,2021-02-15 14:07,
5ed171d3bc261f00011dcb3c,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5ed505fd719a5e000135831c,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5f0e0c946cae5e0001128704,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5f10a8f6287d3e0001cc775a,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5f3ee9c571aa2c00010bd7a6,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5e617dcc9fed0e00015600b4,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,1,panam,0,0,2020-05-01 02:00,2021-02-15 14:07,
5f1c0099201ae800014616aa,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,1,0,2020-05-01 02:00,2021-02-15 14:07,
5f0ff5dd287d3e0001cc72e5,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,1,2020-05-01 02:00,2021-02-15 14:07,
5f198e1284e9da00016dbb28,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,2,0,2020-05-01 02:00,2021-02-15 14:07,
5f0d70d26cae5e00011286fb,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5e62121c9fed0e00015600bd,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,1,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5f10af0c287d3e0001cc77e8,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,1,0,2020-05-01 02:00,2021-03-10 19:19,
5f10b453287d3e0001cc782f,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,1,0,2020-05-01 02:00,2021-02-15 14:07,
5f380935766cdf0001e3d719,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,1,2020-05-01 02:00,2021-02-15 14:07,
5f186b5584e9da00016dbae5,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5f10ae7b287d3e0001cc77e6,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
5f0ffff5287d3e0001cc73c6,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,2,2,2020-05-01 02:00,2021-02-15 14:07,
5f10c54d287d3e0001cc7868,2d76471e6f56a63e6f0105dd92db4254,d42c0e46682ec1a404afae4d5cc380e1,e8b55f64846685a7d1b1cf2e6ec63ce4,0,0,,0,0,2020-05-01 02:00,2021-02-15 14:07,
